mean_dist_ell_center,variance_dist_ell_center,sd_dist_ell_center,mean_dist_ell_glands,variance_dist_ell_glands,sd_dist_ell_glands
452.3514075996689,9268.423359000872,96.2726511476695,176.78148450814894,10564.148115914539,102.7820417967776
541.3828630566961,11584.77389111589,107.6325874961477,258.26782124402035,14490.740587970844,120.37749203223518
614.9967746559417,14045.953133396488,118.51562400543014,328.6690725982741,18253.582776149782,135.10582065976945
683.494698206857,16880.28612204624,129.92415526778012,395.3876741486198,21700.08467332454,147.3094860262724
749.3077948605192,18474.585822494737,135.92124860556106,461.4780087827227,23627.241249312276,153.71155210104502
809.5661746864794,20245.184892364057,142.28557513804432,523.5543661795965,25946.396371369483,161.07885140939354
866.3834040586859,21582.6256160851,146.91026382144,578.7863758791412,27022.968463239933,164.3866432020556
919.5806834313355,22399.847070334366,149.6657845679311,631.2353241837892,27921.452381547755,167.09713457012887
968.9343590522557,23156.913298099047,152.17395735834384,682.7854575097682,28553.496515497438,168.97779888345522
1014.4865755441448,24205.103357401833,155.57989380829977,728.0634134539503,29756.751675776995,172.501454126558
1057.3708768783754,25423.26327845824,159.44674119736106,770.0253688848062,31028.41846449733,176.14885314556358
1097.85645589152,26636.877463230583,163.20808026329635,810.6376037064462,32733.498530688612,180.9240131400158
1136.8627685701574,27709.568090221062,166.46191183036757,850.6384491415287,33890.610778946015,184.09402700507698
1175.6103117208309,28925.902990515486,170.076168202707,888.0990349242614,35149.12854531421,187.48100849236494
1212.8887471612136,30348.254603008256,174.20750443941344,926.1157899165626,36145.6822501238,190.12017844017453
1249.5109807571448,31663.579252237578,177.94262910342078,961.4903678081204,38159.14309017305,195.34365382620715
1284.5783586985613,32607.432877407053,180.57528312979895,995.894677591063,38849.017965414096,197.10154227051115
1319.2168676463882,33948.02558827654,184.24989983247357,1030.3394214347584,40384.75543996821,200.95958658389057
1353.1916973834002,35049.04834229685,187.21391065382093,1066.2254638467211,41278.58091849485,203.17130928970963
1386.2035627555847,35992.051452907486,189.7157121930271,1099.02968466817,42349.14017070663,205.7890671797378
1418.464112208235,37089.17840394194,192.58550933012054,1130.2894789424984,43171.247821919256,207.77691840509922
1450.4214796762644,38415.582478231176,195.99893489055285,1162.24912578079,44791.81706866955,211.64077364409144
1480.592107847153,39673.672977057795,199.18251172494485,1192.125839944584,45541.12070354051,213.40365672485677
1510.1615248326445,40575.38785915685,201.43333353533336,1222.6979261941053,47262.35022810569,217.39905756029785
1538.605368251718,41449.96204281225,203.59263749657612,1250.453380557297,47107.52826974442,217.04268766706798
1566.6771189236952,42742.18461486506,206.74183082981793,1278.1573796764067,49889.6648308399,223.3599445532701
1594.5475664168814,43642.77427798139,208.90853088847615,1305.4173135303492,50483.03670340446,224.68430453283662
1622.841540416433,44915.92696446042,211.9337796682266,1334.6968266406286,50437.85315720999,224.5837330645521
1650.375481156005,45865.93428215008,214.16333552256344,1360.7974960794536,52469.30782561192,229.06179914078191
1677.2403881814162,46696.29613651822,216.09325796173795,1388.4137497122435,53052.46615789659,230.3312096913846
1703.3214545153937,47348.56891638916,217.5972631178737,1414.9086381094462,54234.35487394643,232.8827062577778
1729.1180202836774,48324.87286453884,219.8291902012534,1439.4291054788862,54690.94730469208,233.86095720468623
1754.5857859352761,49386.68082040712,222.2311427779804,1467.2792562042455,55864.11533646206,236.35590819030114
1779.7639354024584,50218.51824248473,224.09488669419642,1491.0243451510412,56772.0315220049,238.26882196797152
1804.5368843002645,51333.35977906124,226.56866460095765,1516.1978178390557,57626.549201468064,240.05530446434227
1828.7631360534613,52111.92101935368,228.28035618369285,1540.6510902614314,59404.199706446205,243.72976778893096
1852.7260552637763,53091.7334952288,230.41643495034984,1564.5676629150676,59659.46495357084,244.25287092186008
1876.0911788306896,54154.03568776452,232.7101967851098,1587.4197762407919,60997.98338622887,246.97769815558019
1899.5649324346366,54968.100019229176,234.45276713920265,1611.3352111326917,61749.57996362153,248.49462763533043
1923.3262161056723,56056.384457894404,236.7622952623462,1636.035176519252,62417.731538720676,249.83540889697898
1946.3754465377403,57224.19916545868,239.21580040929294,1656.8001311670887,63489.744721081785,251.97171412895096
1968.715897141337,58387.70135266619,241.63547204966864,1681.3264999430673,64437.40955226994,253.8452472516867
1991.148681242042,59406.12779481306,243.7337231382089,1701.1374187063461,66816.0124622855,258.4879348485834
2013.1275114585512,60386.76319109884,245.73718316750285,1724.2807468975166,67082.74959733612,259.0033775790117
2035.2950920103224,61228.396504123135,247.44372391338428,1746.8712455554646,68008.6384613773,260.7846591756833
2057.2495014970236,62611.988874070565,250.22387750586586,1769.7993355250726,68499.13157254603,261.7233875154187
2079.024808457636,63513.286029030314,252.0184239872758,1790.3476108895068,70093.58484914456,264.7519307751023
2100.6561895217096,64684.78493076879,254.33203677627557,1811.2374180461086,71519.73817610685,267.4317448922376
2122.1743111186815,65840.07300644851,256.5932053006247,1832.2212671745367,72714.35984405245,269.6560027962523
2143.090665758924,66497.40913893387,257.8709156514822,1854.0087027799334,73150.47123685865,270.46343789292234
2163.5396964493793,67245.95351260947,259.3182475503979,1873.7309901845126,73338.74207667311,270.811266524628
2184.2475418798945,68391.25984398225,261.51722666773264,1895.027740999074,75616.41666444954,274.98439349252084
2204.576133740201,69258.35528697146,263.16982214336707,1915.213891295063,75783.53066529369,275.2880866752023
2224.7908847936333,69971.3421715471,264.52096735712104,1936.7758132153551,76672.10815849253,276.8972881024524
2244.5631731770914,70848.47492601586,266.17376829059594,1956.3575203688106,76926.03981287882,277.355439486733
