citrus_id,label,kind,whole,exocarp,endocarp,rind,spine,mesocarp,oil_glands,num_glands,wadell,krumbein,corey,sneed,janke,equancy,rho,area,volume,density_whole,density_exocarp,density_area,density_volume
C01_CRC2317_18B-18-9,L00,Lemons and Lemon Hybrids,160.6876095107824,34.10451643622636,88.07754593918719,47.45001788617516,6.902805725835007,40.54721216034015,0.22894020023775996,8217,0.9988484782444667,0.9580654875264656,0.9287687439698127,0.9519301035938622,0.9505751287246466,0.9120113787907724,0.9913005960130308,131.55219664128307,141.63493517810699,51.13648790355939,240.935830753248,62.46189884921603,58.01534762357226
C01_CRC2317_18B-18-9,L01,Lemons and Lemon Hybrids,86.99294718164087,16.5971545943463,50.56160755043128,26.259459956275386,3.5012007964003833,22.758259159875003,0.18090736774105595,5768,0.9998340498736672,0.9815674391316899,0.9755276589266714,0.983617827733753,0.9834130793324483,0.9654872322528955,0.9987624536532858,85.07800922469471,73.77202013773062,66.30422565126392,347.5294495337669,67.79660281855517,78.18682461495943
C01_CRC2317_18B-18-9,L02,Lemons and Lemon Hybrids,82.89804435605015,16.715138828818493,51.140165702607156,20.911448195971516,1.6987779447182716,19.212670251253243,0.17218177418675196,6005,0.9988585321628458,0.9585288564503623,0.9288200038293527,0.9519651287135023,0.950622892077795,0.9124860462063754,0.9913680526676001,86.85977323892052,75.99024165872716,72.4383795377404,359.25516751597706,69.13441949108442,79.0233044259618
C01_CRC2317_18B-18-9,L03,Lemons and Lemon Hybrids,62.717742939645355,14.892982019569981,37.67197483505419,14.9988062799527,1.6277018094099838,13.371094537832764,0.17554195153580796,5817,0.9994107953186248,0.9763290846949286,0.9448988195337438,0.9629199936106775,0.9622246909292038,0.9401267959963593,0.9954829737647062,70.87127947302972,56.052537470452144,92.7488734025047,390.5866529856967,82.07838271374341,103.77763902421735
C02_CRC3919_18A-24-1,L00,Lemons and Lemon Hybrids,103.97097539283708,23.0826089512928,61.02447558910977,26.68924836330144,1.9511752151351043,24.73807314816634,0.573768710156992,13185,0.9973450885625728,0.9213449784013639,0.9303064650362248,0.9529805260697976,0.949676869851064,0.878023822208698,0.9815717396834671,100.58081349720479,94.4745232636105,126.81423782149456,571.2092609558132,131.0886196040403,139.5614346018994
C02_CRC3919_18A-24-1,L01,Lemons and Lemon Hybrids,82.51667579314164,14.134825093007361,49.92322094919175,24.92556525504461,1.5659586787658242,23.35960657627879,0.7544769242021762,12603,0.9983502460572203,0.9380873188430826,0.9406978723408952,0.9600638293159666,0.9580192464176999,0.900623703561238,0.9882861363913047,86.5049140047055,75.46739780629774,152.73276436382446,891.6275876830503,145.6911453529039,166.9992654622614
C02_CRC3919_18A-24-1,L02,Lemons and Lemon Hybrids,79.676378023911,16.26301970349773,52.26529851411949,16.88569979377882,1.0287012428291202,15.856998550949697,0.7035872879011201,12192,0.9974409421708563,0.9229035083564314,0.9298674601046201,0.9526806993803814,0.949502457442197,0.8792323598016127,0.9821848423438843,84.74535137233535,73.07661575481477,153.0190039052875,749.6762730587994,143.8662982991656,166.83859636995726
C03_CRC3593_18A-8-3,L00,Lemons and Lemon Hybrids,250.14192401186145,29.417940542794405,164.00477180341917,75.10715987905262,6.173145193384031,68.93401468566859,0.38164824792939195,6596,0.9823098120791013,0.804526404478686,0.8402629074359942,0.8904512098366294,0.8684139100893634,0.7163915102135595,0.8985804105511692,184.80772722623112,229.99941193973368,26.369030405663725,224.21691927770303,35.691148303152666,28.678334193864536
C03_CRC3593_18A-8-3,L01,Lemons and Lemon Hybrids,241.57167994903614,33.66850895683043,174.71799294182972,49.258312781285696,4.264143675725936,44.993770864696785,0.366994794357616,6317,0.9887955071613687,0.8422282808888147,0.8744104160979164,0.9144154351058754,0.9003820459139013,0.7701465399274189,0.9311715216637135,180.62614325899753,224.4421670685961,26.14958840097765,187.62339633452797,34.972789021698446,28.14533508789968
C03_CRC3593_18A-8-3,L02,Lemons and Lemon Hybrids,172.95111476351227,23.74058485922591,128.5292607699604,33.336354581152776,2.84907396476688,30.487280616385895,0.299968141840144,5414,0.992751876824734,0.8719294775073533,0.8929653695485766,0.9273060169635381,0.9182650454187181,0.8085454508604425,0.9531657607846828,144.20545597725874,161.0673178131976,31.303643271700953,228.04829923539342,37.54365577439587,33.61327470715717
C04_CRC3005_18B_37_1,L00,Lemons and Lemon Hybrids,205.725172237503,46.39024199899183,130.9787784903124,47.35771601653384,3.8803645729938427,43.377556621231896,0.570248214120096,12704,0.9968162396204389,0.9156396316761681,0.9133833684949639,0.941388162457485,0.9374884563765908,0.8619723103368764,0.9778574114753669,157.674950534633,185.28511244966364,61.752287587508484,273.8506947274836,80.5708196319338,68.56460204513891
C04_CRC3005_18B_37_1,L01,Lemons and Lemon Hybrids,144.8522988292665,33.68823324580256,84.65132413914968,33.11842471745638,1.6033851474852079,31.486454801527568,0.7882466711879089,12417,0.9837191269511513,0.8118294571829118,0.8529046403071531,0.8993601730029723,0.8789469224987136,0.7301270810609327,0.9054270050581288,125.43674100090968,128.8895269573866,85.72180145125336,368.5856693463471,98.9901355928081,96.3383161775844
C04_CRC3005_18B_37_1,L02,Lemons and Lemon Hybrids,142.27785812933286,29.245269952526943,88.60146026648786,30.30518184537255,2.079766507536477,28.197069453789325,0.523966093276375,10418,0.998145630515229,0.9343399547358274,0.9380141494834507,0.9582369785759487,0.9559375349067474,0.895319095188848,0.9868960191813516,120.98633368338031,124.78694499996682,73.22291842859956,356.22854625418944,86.10889910313153,83.4862973847366
