citrus_id,label,whole,exocarp,endocarp,rind,spine,mesocarp,oil_glands,num_glands
SR03_CRC3611_12B-20-11,L00,137647135,16827009,93812379,38855449,5714488,33140961,583185,6793
SR03_CRC3611_12B-20-11,L01,132659059,19444186,93090702,30718292,5829759,24888533,521714,6444
SR03_CRC3611_12B-20-11,L02,111031449,19200355,71176905,29891060,4546617,25343882,635291,6838
SR03_CRC3611_12B-20-11,L03,85112818,11303201,56124236,25782222,4278025,21504197,549837,6380
SR04_CRC2717_12B-40-1,L00,216064003,38172459,98507520,93944904,9174948,84769956,1026783,12717
SR04_CRC2717_12B-40-1,L01,140300001,24301280,75918986,50788667,5798018,44990649,809837,8933
SR04_CRC2717_12B-40-1,L02,124322054,21981934,68365551,43794962,6304208,37490754,588210,7917
SW01_CRC3030_12B-8-5,L00,271700014,54405385,154829337,78839845,8492093,70347570,820455,14099
SW01_CRC3030_12B-8-5,L01,257635100,46991877,153315666,72931073,9701502,63229571,1073145,15113
SW01_CRC3030_12B-8-5,L02,183374929,27114843,120577178,49482260,5914433,43567706,1192578,12292
SW02_CRC3746_12B-17-7,L00,192129814,28378274,110204965,66503119,2089477,64413294,623808,10714
SW02_CRC3746_12B-17-7,L01,182450818,26527219,114941113,53463100,1693907,51769193,542778,9594
SW02_CRC3746_12B-17-7,L02,188886469,28900772,100665041,71936179,1816739,70119440,640937,11244
SW03_CRC1241-B_12B-4-3,L00,280008159,33894702,185099883,79696055,4469557,75085105,570772,8996
SW03_CRC1241-B_12B-4-3,L01,175733135,28238561,114604187,47221084,2975117,44187452,468259,8358
SW03_CRC1241-B_12B-4-3,L02,169099285,30611168,99866728,54319707,2117754,52176675,540268,9109
SW04_CRC2802_12B-11-5,L00,213923106,33163557,139697573,50454422,1617365,48807968,1382324,15490
SW04_CRC2802_12B-11-5,L01,196645430,37013730,121423746,52995366,1966338,51006663,1472997,14477
SW04_CRC2802_12B-11-5,L02,174911792,34229957,107969043,46301845,1425807,44845640,1520652,14391
SW05_CRC3994_12A-25-9,L00,303926984,27995136,203714118,90591164,5464949,85126204,518346,10565
