citrus_id,label,kind,001_NN,002_NN,003_NN,004_NN,005_NN,006_NN,007_NN,008_NN,009_NN,010_NN,011_NN,012_NN,013_NN,014_NN,015_NN,016_NN,017_NN,018_NN,019_NN,020_NN,021_NN,022_NN,023_NN,024_NN,025_NN,026_NN,027_NN,028_NN,029_NN,030_NN,031_NN,032_NN,033_NN,034_NN,035_NN,036_NN,037_NN,038_NN,039_NN,040_NN,041_NN,042_NN,043_NN,044_NN,045_NN,046_NN,047_NN,048_NN,049_NN,050_NN,051_NN,052_NN,053_NN,054_NN,055_NN,056_NN,057_NN,058_NN,059_NN,060_NN,061_NN,062_NN,063_NN,064_NN,065_NN,066_NN,067_NN,068_NN,069_NN,070_NN,071_NN,072_NN,073_NN,074_NN,075_NN,076_NN,077_NN,078_NN,079_NN,080_NN,081_NN,082_NN,083_NN,084_NN,085_NN,086_NN,087_NN,088_NN,089_NN,090_NN,091_NN,092_NN,093_NN,094_NN,095_NN,096_NN,097_NN,098_NN,099_NN,100_NN
C03_CRC3593_18A-8-3,L00,Lemons and Lemon Hybrids,0.9819304488819184,1.3455283839991798,1.650001646666663,1.8965620738526783,2.1127199569911306,2.302254864871421,2.4864238102618446,2.655478285749242,2.8118438521501585,2.9623083541932194,3.1051628784673118,3.2422632417457034,3.373746803737391,3.503107554643891,3.624225689143393,3.7417947406749263,3.856822124329354,3.9666455612582703,4.0783896965627555,4.183649155606931,4.285602524631321,4.385337856255414,4.482311371554719,4.577421901465693,4.671600283523356,4.76461478545296,4.8567493540729725,4.946567581422836,5.032757494237474,5.118911024286272,5.2032405464968665,5.284900748356734,5.368196308237857,5.447320128591658,5.5255488575247425,5.605763558959609,5.683221327992136,5.759449192897514,5.835663933237735,5.912027607637196,5.985787192109743,6.058627270746449,6.130650746120403,6.202320436934986,6.27139159284915,6.342315241743878,6.411032146262284,6.480690489867409,6.546957082740081,6.614426675223823,6.678614136600815,6.744671259872421,6.809389541804042,6.873292893155871,6.9350976992651985,7.0000678620474215,7.063002338780665,7.123894733433157,7.184722309667448,7.24498555451674,7.305346057884685,7.3648373210364975,7.423909238800862,7.483092901055408,7.5409175646290425,7.598180296532969,7.655962263488063,7.712662607149867,7.768322127608027,7.823957846570245,7.879138286910092,7.934441686988197,7.989422623142623,8.042632353369536,8.097171241150464,8.151367555566367,8.20451305667912,8.257710351091156,8.310304296517886,8.363739030732019,8.415955731522093,8.46755383885301,8.520517733460055,8.572678851609702,8.623751661566889,8.674034446409793,8.723905579531058,8.774626448059625,8.825088868231513,8.875049476201037,8.923865421726457,8.973082714590014,9.021514726982582,9.069136614896863,9.117167012968052,9.163836889832401,9.211522120308542,9.25862397944102,9.305345022804275,9.352618432704142
C03_CRC3593_18A-8-3,L01,Lemons and Lemon Hybrids,1.0009862029179286,1.3522216393007287,1.6449653726582634,1.8968483432934415,2.1129868538939887,2.3133012240347544,2.495589441328465,2.6677709891339503,2.834164598109273,2.9875427216639707,3.1298656647214056,3.268971116295339,3.3996583813195196,3.5269666152510406,3.649895861785509,3.768653352294261,3.88354441856718,3.99440224195073,4.101255987680178,4.208131335225241,4.311587702912,4.411728168802896,4.510653690286518,4.607774352132089,4.701686401966712,4.795027074760094,4.885394674248837,4.972373253926131,5.0592396012575405,5.1425894644654235,5.22611503193001,5.309652460658448,5.389645615927328,5.471850086945276,5.5511529886789726,5.628472755597909,5.704357689963753,5.781855784539593,5.855707242503378,5.931809616971055,6.003363985885005,6.077194331858309,6.148568246342489,6.219060140889659,6.28825098835312,6.357541854669965,6.425082044848974,6.493247911240097,6.560564665087813,6.625261408333707,6.690759467893693,6.7549389462935885,6.819996923880668,6.884341313297038,6.946560667529924,7.009192277316688,7.071921666414394,7.133057910011827,7.194913788003713,7.2559471554295305,7.315772762934101,7.374335352524849,7.433665170715151,7.492476477886888,7.550393773538859,7.607746490407026,7.664641258063633,7.721382337681026,7.777547266851639,7.8335269699719925,7.889295855738593,7.94480823064419,7.999004889877307,8.054481971400651,8.108227991915577,8.16187356549362,8.215974550547468,8.269497756951086,8.322129602098773,8.37502664646995,8.427077042384587,8.478159889564402,8.529402720787244,8.581250220785842,8.63237138477435,8.682964008955386,8.733264565016192,8.782712404699126,8.833100679874832,8.88269551338523,8.932294236443086,8.981356821333378,9.030843715906611,9.079173508407896,9.126744268631152,9.173643503564914,9.221561123715537,9.268516803064177,9.31555258646524,9.363267725399293
C03_CRC3593_18A-8-3,L02,Lemons and Lemon Hybrids,0.9560753161665391,1.2821875381887418,1.5599545101890215,1.799383967271391,2.004264685389413,2.1977158154690426,2.3779691229671265,2.5439619902778814,2.700507818124449,2.848264938433559,2.990009969303043,3.1232246645265658,3.250017379710179,3.3708124205002963,3.488114056426627,3.6034877781420422,3.7139070663332907,3.820641503675979,3.924282747679742,4.026518922617636,4.12426883731288,4.218918481930486,4.314067629103301,4.407476680543926,4.495844405393963,4.584604165453506,4.669760165000417,4.756236715263798,4.840260438772501,4.923515767193152,5.006644245545799,5.085831358906136,5.164162258909362,5.242290597265053,5.319732834179354,5.395180272826881,5.467815456494976,5.5411423030948255,5.613075068659011,5.684891348532598,5.755435377853951,5.825168870964592,5.894637039292349,5.962776907566271,6.031028747482116,6.098054856982138,6.164279040745478,6.231578210632387,6.296111334207863,6.361270356951521,6.424316836312435,6.486989778291869,6.549680699288925,6.610844320174931,6.671387238319982,6.731444587966282,6.7928822880099755,6.8533017259468085,6.911261325531948,6.969541640214091,7.027574027696474,7.084380947645133,7.141367956516942,7.197571350095936,7.253577599896097,7.308551112864425,7.362992616241609,7.417684743617162,7.471747856706269,7.525825221279855,7.579980069350529,7.6332157640489715,7.687574807561201,7.740011134994052,7.792868340067179,7.84297672122166,7.895747215698283,7.946789752023806,7.997712158322621,8.047965711837413,8.098382151359477,8.147893837083139,8.197547283812597,8.24697679482552,8.296796528015651,8.347013741537124,8.394749077458316,8.443213636347604,8.491278393652355,8.538155924352024,8.585650724639564,8.632737678746555,8.67898012356344,8.725766433365607,8.773580281515102,8.819891187989551,8.864963474197742,8.90975864937299,8.955283768539482,9.000775892559435
C04_CRC3005_18B_37_1,L00,Lemons and Lemon Hybrids,0.9042342762456022,1.1281232471032816,1.3029350610866224,1.454809336351074,1.5933428878798908,1.7220071339862402,1.841042350152729,1.9517048949457232,2.055605559821606,2.15382248966327,2.249028631008186,2.337619745574892,2.425349832439591,2.506643112533243,2.5865258455892084,2.663521813658302,2.737210963775298,2.8092311930702274,2.8789830175337987,2.948052035686935,3.015817740418322,3.080763126186292,3.143682425093805,3.20483750523127,3.2659199155037713,3.325908307499279,3.385326529963478,3.4427514177609937,3.499578138490406,3.5560127581317125,3.611129909857055,3.664662934054579,3.717970287359,3.7702984084299063,3.8226803076839584,3.873596485881875,3.9241637158821607,3.9731750155308445,4.023336185609565,4.071235298877705,4.118593357672574,4.1661880826773325,4.2129261753160705,4.258820653083181,4.3049430838928116,4.350092673409205,4.395090940776213,4.438855282385517,4.482637626390048,4.524952521874952,4.568156496951945,4.610669333263605,4.6522319560638365,4.6941754768500985,4.73542439024685,4.776221928447415,4.816683461005666,4.856720508886795,4.897055063687401,4.936974577581947,4.976125792287932,5.015193762938678,5.054005893777613,5.092795355839788,5.131281931089109,5.169203555914125,5.206870966119067,5.244328476613595,5.2816680090764265,5.318317679504261,5.3548901917665335,5.3909761888900825,5.426656752147328,5.46220954887367,5.497508955921018,5.53288181747963,5.567342252799605,5.602368240314317,5.636695760020568,5.6711149729643715,5.705299280705312,5.738869536605365,5.773170688902742,5.806167836928905,5.838845642238336,5.872095860169495,5.905169739741801,5.938092539128881,5.971006520143543,6.003629944286197,6.0354120936470395,6.067026449658524,6.099099347386227,6.130847263638967,6.162318503934475,6.193730571910036,6.224660631342682,6.256240148610513,6.286650875258034,6.317492094786968
C04_CRC3005_18B_37_1,L01,Lemons and Lemon Hybrids,0.9019014518486808,1.1025465376910468,1.2563936840381655,1.3914584360032682,1.5132290607015073,1.6285771554940716,1.732840426152315,1.832525419401234,1.9264021568562764,2.013676130827431,2.097269480420962,2.1760583663506408,2.251596825155671,2.3245157852093445,2.394769266660565,2.4624840206090064,2.5287597159615816,2.592736526699954,2.65459651319576,2.7144144322460937,2.7734436996465033,2.8307793932523775,2.8870780957831275,2.942641267525617,2.9960347139392236,3.048783820720961,3.1008303490450615,3.152635135834474,3.2038478241376462,3.253178288941789,3.3018201400046223,3.350485962980041,3.39792097741925,3.4445486725910444,3.4904718726899184,3.536597433077399,3.581528152652768,3.6263930593544833,3.6701241855663,3.714000971904879,3.757302202489269,3.7999559907965295,3.841965362689606,3.8836127548721597,3.924369872959701,3.9646124867342056,4.0051529623310405,4.044655013122991,4.0841243384625825,4.1242652961473345,4.162963619011624,4.20142742126481,4.239203044541598,4.2769577476985665,4.3140303530611455,4.351002248708171,4.387941567913678,4.423845329314424,4.459750176615968,4.494921393470032,4.530314381411024,4.5654875597650655,4.600124758940399,4.634383296367137,4.668274813628563,4.702236703495772,4.735722473978409,4.769542279950269,4.803218345907802,4.836827276191072,4.869996584365114,4.902662958120088,4.935250327025921,4.967490103603318,4.999475855639869,5.031319807878602,5.063002771684671,5.093907288345197,5.1246583762393145,5.155629700135558,5.186227309408837,5.2168482256734965,5.24771277140961,5.278151841048709,5.308386573945165,5.338192417173185,5.36809242052273,5.39735007311829,5.426613671318745,5.455607087797003,5.484655792251963,5.513665037598283,5.542266421698592,5.570922981699652,5.599539166268468,5.627201622645423,5.655619160077165,5.683350566138452,5.711646861413754,5.739126333643052
C04_CRC3005_18B_37_1,L02,Lemons and Lemon Hybrids,0.8976538985066879,1.103947751583353,1.2646880636509679,1.4046432782039542,1.5345158338234826,1.654357492678733,1.7664691160086743,1.8712178332874034,1.9709549425604742,2.0638924492177706,2.152554864958557,2.2384509783684283,2.319393890783214,2.3977828334544053,2.472722723718641,2.546318787778169,2.6193279613973224,2.6894211299750603,2.756366496530736,2.821079448963686,2.8859681501272707,2.9496613430522327,3.0111856071653786,3.0712566520766544,3.1300191197489724,3.1885841810512914,3.24667547053287,3.3016272269846176,3.3560255594229313,3.41078034283778,3.4641596974100213,3.516663456795167,3.5691850894959183,3.620373095502667,3.670893400839073,3.720943995593838,3.770316524345524,3.8193686811695207,3.867405836364221,3.9154912043506656,3.9617919202564447,4.007487410490739,4.053434276385743,4.098775171492518,4.14333338892294,4.187655042076997,4.230978651123898,4.274392418986778,4.317196482503174,4.36011514040824,4.402143003268295,4.44376546344871,4.485547103634979,4.526393368779113,4.566748117546767,4.606366830519755,4.646371579532484,4.68559429290927,4.724327588065541,4.763390677446318,4.801250809270405,4.839675915276294,4.8767142284292415,4.914177392859892,4.951367801028027,4.987968572120383,5.023940633747286,5.060071667269876,5.096164368397251,5.13180436205828,5.167792297899152,5.203295701932692,5.238843316976063,5.27423652239847,5.309305662902694,5.3432444627605165,5.377218276072649,5.411430214751819,5.4453255277528765,5.478696329230258,5.511898125735384,5.544184847286523,5.577220911825533,5.61017886456236,5.642665502335068,5.674621638483186,5.707007210401079,5.739107038367394,5.771224853660807,5.802687169529014,5.834511785417352,5.865730203880091,5.896670652020924,5.927582467960455,5.957871864402164,5.988505973042789,6.018946473203956,6.050173434530245,6.080649169433627,6.111096964296919
C05_CRC3050_18B-29-1,L00,Lemons and Lemon Hybrids,0.7484901655409542,0.939506510209495,1.083605703099354,1.210628441865475,1.3211156514131952,1.4234105125284016,1.51820356810677,1.6084344647154438,1.6938753910672217,1.7749065941737012,1.852098123407985,1.9260928537856996,1.9966875852534458,2.0644244545174986,2.130335704936514,2.1942269466031243,2.2557786824762465,2.316020990457611,2.374507045042445,2.4315499634803532,2.4873158375942053,2.5427375108156154,2.5963335894209845,2.6490382605893745,2.7001631438511624,2.750736513092726,2.8008013578427873,2.8492767575615647,2.8978743152779547,2.9451105224623366,2.9915945380634086,3.0373287475644752,3.08227456828522,3.1273409086590327,3.17104580102092,3.2146274341723218,3.257505698039635,3.29971168090273,3.3413266607867618,3.382456505911471,3.423409452899981,3.463348857034527,3.5033202861746116,3.5425001639848186,3.581054733659609,3.6195427276018153,3.6572518506432075,3.6950983118428473,3.731904090595478,3.7685301620403684,3.8050295821022004,3.8407408128476788,3.876150117638534,3.9118775559565924,3.9469662633267615,3.981468930055693,4.015859852949319,4.050197199393071,4.084070702473913,4.117482463303991,4.15091005900784,4.183932615786765,4.216774200956429,4.249552741997766,4.281434907478615,4.313431073564871,4.345272004597597,4.376947574719053,4.4077516141303095,4.439569343660968,4.470521866183317,4.501115909211867,4.53188776387206,4.561905494943592,4.59243610647014,4.622064423363002,4.651746849853514,4.681017861344673,4.7100242632921825,4.739068361528453,4.767704511195622,4.796322754910629,4.82475887090016,4.853045164979949,4.8817203955462505,4.909971583434467,4.937679518868044,4.965538675407591,4.993476954899245,5.020560455900179,5.04767701024253,5.074824855682477,5.101893050801415,5.128565047048917,5.15498198793955,5.181143628475606,5.207408732582699,5.2338113809087785,5.260274379443708,5.286198407909675
C05_CRC3050_18B-29-1,L01,Lemons and Lemon Hybrids,0.726343420410124,0.898699023758797,1.0327223935387928,1.150391770602717,1.259163747114301,1.363040343390522,1.4619219590760244,1.5548601424918567,1.6409551645211418,1.7229540251187143,1.7998493781940723,1.8740223404250338,1.945981347633017,2.01438746597509,2.0814025860652423,2.145789909303068,2.2079458254085735,2.26867836383001,2.3271074155170646,2.385319078946672,2.4416301541106358,2.4967971843843357,2.550382765635805,2.603053123684047,2.6554202118851133,2.7059252007613,2.7562671146477054,2.806276380113114,2.854155003055644,2.901346000996718,2.9480348373384713,2.994184516058496,3.039930239750825,3.0840160761789157,3.12823718732039,3.172061038231144,3.2151129496118425,3.2576601352609313,3.2993081392848143,3.3408423421498075,3.3817830573465253,3.422490185842886,3.462134706252082,3.5015598657052442,3.5402063269193387,3.5789863130811113,3.6170174466353577,3.654207171551299,3.6920560788914263,3.729277911046568,3.765931110479359,3.8018966077872824,3.83765870500659,3.873195699247119,3.9082794952460134,3.943242064872418,3.977929291002042,4.01240848877768,4.046278945543475,4.079477970079266,4.112890250795981,4.145642896099516,4.178956407631665,4.21154100828875,4.243717553358453,4.275846619593566,4.307725588149535,4.338949742456706,4.370574528969587,4.401724353367935,4.432839575991592,4.463502666335793,4.494132629037971,4.5243908323307505,4.554432254264381,4.58438077207234,4.614119070616597,4.643355754578652,4.672459016481833,4.701351981797675,4.730158842788669,4.75922027340834,4.788241035473594,4.816648578826089,4.844990256379936,4.872838954842097,4.901309755487677,4.929392654960888,4.956382875775105,4.98395529944483,5.010861986487577,5.038387800529993,5.0649770261033815,5.091983337638533,5.118800152778276,5.14543076703438,5.172011026560109,5.198197720871425,5.224135483134619,5.250168375464185
C05_CRC3050_18B-29-1,L02,Lemons and Lemon Hybrids,0.6916170063866087,0.8510420307840112,0.9782945586476932,1.09324552685315,1.2017822388319155,1.3054779150517335,1.4013360652544087,1.4909851340777749,1.5755409089119192,1.655433252292925,1.7311791834102026,1.8040310029762454,1.8729804150630744,1.9397346841554168,2.003699577146131,2.0656747639210633,2.1260473709425,2.1846344819310435,2.2413275575161995,2.2972226040401194,2.3523486696090523,2.4046567959943936,2.456534541812408,2.5073281101677813,2.55665500112995,2.605251848510367,2.652614985914495,2.700390606250883,2.747093564655704,2.7928146409987384,2.8378574651536397,2.8820632726959405,2.9256605272389167,2.9687211779899925,3.0113378180859387,3.0524752399350255,3.093967649810965,3.134591101981127,3.175032413174708,3.2142938968881225,3.2530437542162622,3.2916731754555255,3.3305985776861227,3.367872263626881,3.4047751895973724,3.4416411024467046,3.477932993372495,3.513985959543088,3.5493196594000094,3.584867083064634,3.620092533865938,3.6552595098821437,3.6900100168292287,3.724112289397275,3.7581152257431842,3.7917732719762784,3.8251886125111176,3.8584388069229103,3.890896371819784,3.9234472027567513,3.9554218133289676,3.9873031853359224,4.018601080447272,4.050463687479123,4.081316178754907,4.112008863547047,4.142974279583698,4.173516418622309,4.20376564915959,4.233849260709885,4.263302316897038,4.292923433794316,4.3223143719346675,4.351670245103817,4.380654040422287,4.40891613813848,4.437137061026368,4.465598839971811,4.4937708465243515,4.52165678762673,4.549478671574813,4.576974205271994,4.605058219729087,4.632663722379496,4.660132454276075,4.687440402510792,4.714362657302992,4.7412160398288705,4.767892739524035,4.793687790604108,4.8200989695896,4.846306922879767,4.872436120932254,4.898465051413583,4.924461459875927,4.950061890839379,4.975632623764242,5.000917467366205,5.026554341878991,5.05172641050135
C06_CRC1482_18B-27-7,L00,Other,0.8000775950078038,1.0158738668710652,1.206974970942163,1.3814504892893313,1.5396279237130066,1.6846934364271475,1.8186853256360718,1.9434082207248145,2.0554029101423397,2.167207603509775,2.2711656804315408,2.3706925467446403,2.466619936631994,2.559934655862229,2.649010774936802,2.7353710624272956,2.8189332303372443,2.900573436468618,2.978590391971102,3.056490789892303,3.132257609497544,3.204933872039881,3.2775167073460993,3.346581623022827,3.4142890735487255,3.4822818170337415,3.547742611187096,3.612840052925544,3.6758171786345337,3.7379492214216254,3.7991880890283207,3.859244117558697,3.919138089217118,3.9772640091601876,4.0352118649600595,4.092665427853157,4.147823006512472,4.203080860173361,4.25692169168927,4.310352016197166,4.3634405531485285,4.41615799652951,4.467066621709754,4.519661165959732,4.569747145363974,4.618773319812217,4.667075130428224,4.716736267269703,4.766088403640728,4.813917157783438,4.861451680778944,4.908179231634665,4.955133973284918,5.001952250713146,5.047191156371971,5.091764352880631,5.137184230218498,5.1814646527211865,5.226240868587081,5.269619592244017,5.31310670412956,5.356202577041735,5.3985318007863,5.440686622003303,5.482775892164647,5.524472648874677,5.566525644114888,5.608054519702106,5.649642523574554,5.690540762431327,5.731082382769347,5.7707430538805475,5.810034226347513,5.848793589560399,5.887827183694587,5.925861421954498,5.964828938251012,6.003578628837666,6.041293014378062,6.079218988563442,6.116947556431148,6.154660315330873,6.191503842420181,6.229089294100401,6.266067703816755,6.303268392300418,6.339908970791627,6.375256212208472,6.4113452734825955,6.4470152927121225,6.482440591330004,6.517825298526515,6.552423410233961,6.5880331331252515,6.6229294361227,6.657075283010428,6.69205171520514,6.725874133079936,6.7602250713997,6.793792215990615
